sample prop_missing
PO010715_02 0.00430663221361
PO010715_02_rep 0.00482425913163
PO010715_04 0.00482425913163
PO010715_06.1 0.0172294968987
PO010715_08.1 0.00930392832529
PO010715_10.1 0.00740868366644
PO010715_11.1 0.00982081323225
PO010715_12 0.00723638869745
PO010715_17.1 0.013094417643
PO010715_19.1 0.00809786354238
PO010715_26 0.00499569336779
PO010715_27.1 0.0113714679531
PO010715_28.1 0.0065472088215
PO010715_29.1 0.00878704341833
PO020515_01 0.00809786354238
PO020515_03.1 0.00809786354238
PO020515_05.1 0.0158511371468
PO020515_06 0.00878704341833
PO020515_08.1 0.0111991729841
PO020515_09.1 0.0211922811854
PO020515_10.1 0.0124052377671
PO020515_14.1 0.00585802894555
PO020515_15.1 0.00361819434873
PO020515_16.1 0.00740868366644
PO020515_17.1 0.00861474844935
PO031715_03 0.00775327360441
PO031715_04 0.00551343900758
PO031715_13.1 0.00637491385252
PO031715_20.1 0.0179186767746
PO031715_23 0.00499655410062
PO031715_24 0.00844245348036
PO010715_26_2 0.00603032391454
PO010715_07 0.00499569336779
PO010715_07_rep 0.00516884906961
GE011215_01.1 0.00620261888353
GE011215_07.1 0.0153342522398
GE011215_08.1 0.0292901447278
GE011215_09.1 0.00775327360441
GE011215_10.1 0.00689179875948
GE011215_14.1 0.00603032391454
GE011215_15.1 0.0065472088215
GE011215_16.1 0.012922122674
GE011215_18 0.00430737422467
GE011215_19 0.00671950379049
GE011215_20.1 0.00379048931771
GE011215_21.1 0.00809786354238
GE011215_22 0.00430737422467
GE011215_24.1 0.00775327360441
GE011215_28 0.0039627842867
GE011215_29.1 0.0327360441075
GE011215_30.1 0.00413507925569
GE012315_01.1 0.0167126119917
GE012315_03.1 0.0184355616816
GE012315_04.1 0.0156788421778
GE012315_05.1 0.0160234321158
GE012315_06.1 0.0124052377671
GE012315_08.1 0.00568573397657
GE012315_09.1 0.00310130944176
GE012315_10.1 0.00809786354238
GE012315_11.1 0.0039627842867
GE012315_17.1 0.00844245348036
GE012315_20.1 0.00689179875948
GE012315_22.1 0.0172294968987
