11542	11542
11540	11540
11544	11544
11545	11545
5988	16102
5989	5989
19398	19398
5982	10685
19396	19396
19394	19394
19393	19393
19392	19392
19391	19391
5985	5985
46136	15586
19973	19973
19972	19972
274	13459
276	276
277	277
278	278
16704	16704
16707	10482
16700	16700
16703	16703
12019	12019
12015	12015
12014	12014
12016	12016
12010	12010
12013	12013
17258	17258
17251	17251
17252	17252
17253	17253
17255	17255
17256	17256
17257	17257
10708	10708
10703	10703
10702	10702
10700	10700
10707	23052
10706	10026
10704	10704
21619	21619
21615	13649
21610	21610
5983	5983
45443	45443
5986	5986
5984	5984
46862	46862
22746	22746
13058	13058
13059	13059
13052	13052
13053	13149
13050	13050
13051	13051
13057	13057
13054	13054
20258	20258
20253	20253
20250	20250
20251	20251
20257	20257
20254	20254
40964	40964
29769	29769
40960	40960
44420	44420
29765	29765
29766	29766
29760	29760
29763	29763
1177	1177
1176	1176
23506	23506
1179	1179
27613	27613
27612	27612
27611	27611
12833	12833
12832	12832
12831	12831
12836	12836
12834	12834
8544	8544
12839	12839
12838	12838
8541	8541
8543	8543
16886	16886
50419	50419
50410	47131
22678	21117
22676	22676
22674	22674
22672	22672
26569	26569
26566	26566
26564	26564
26565	26565
26563	26563
26561	26561
8295	8295
8294	8294
393	393
391	391
396	396
395	395
394	394
398	398
32226	32226
32227	32227
32220	32220
32228	32228
3746	3746
3747	3747
3743	3743
29659	29659
21930	21930
21931	21931
21932	21932
21933	21933
21934	21934
21935	21935
21936	21936
21937	21937
21938	21938
21939	21939
19977	19977
15708	15708
15709	15709
15700	15700
15702	15702
15703	15703
15704	15704
6814	6814
9756	9756
9755	9755
9753	9753
9752	9752
9751	9751
279	279
19979	19979
9758	9758
37307	37307
37300	10220
24140	24140
37303	10114
37308	37308
24149	24149
18530	18530
33755	33755
33754	33754
18534	18534
33752	33752
30334	30334
30335	10026
30337	19360
30330	30330
30331	30331
30332	30332
30333	30333
23657	23657
15166	15166
35219	35219
35215	35215
35216	35216
35212	35212
44808	44808
23266	23266
23267	23267
23265	23265
23268	23268
23269	23269
9256	9256
9252	9252
9253	9253
9251	9251
6775	6775
6776	6776
6773	6773
42811	42811
42812	42812
42814	42814
42817	42817
42818	42818
42819	42819
5058	5058
5059	15003
5056	5056
38569	38569
38568	38568
38561	38561
38563	17336
38562	38562
38567	38567
38566	38566
18893	18893
18892	18892
18891	18891
18890	18890
18896	18896
18895	18895
18894	18894
18899	10026
36178	36178
36179	36179
36175	36175
36177	36177
36170	36170
36171	36171
36172	36172
18768	18768
18761	18761
33525	33525
18763	18763
18762	18762
18765	18765
18764	18764
18767	18767
33523	33523
41542	41542
41540	41540
41549	41549
