"B11.c","Ba138.c","Li7.c","Mg24.c","Mn55.c","Pb208.c","Sr88.c","Zn66.c","B11.e","Ba138.e","Li7.e","Mg24.e","Mn55.e","Pb208.e","Sr88.e","Zn66.e"
0.0304412356447104,0.0526092129855459,0.0438417529838189,0.691718405736664,0.0805502915689411,0.0836244166106515,0.6545230666944,0.514082058342801,0.11591688689878,0.124560418247269,0.49127153045766,0.529181501407663,0.0134573213523868,0.0407674979550804,0.337953481649765,0.267226507988269
0.0338848977628686,0.109071133439655,0.0458062130088586,0.89766243768073,0.309838771263756,0.0469773259096527,0.744147602746147,0.583503485639901,0.0517823855954319,0.082122619684548,0.47999308212578,0.664220979069686,0.142033731078369,0.0221056132496576,0.289583000797674,0.267834703953895
0.023940844546094,0.165283092769707,0.0486090456742383,0.729908635048709,0.581216976337499,0.136974571393346,0.754031604426926,0.457066028644469,0.0345427053938217,0.136090375721902,0.420772874624026,0.438065776821557,0.0284997258427022,0.0685448013604744,0.460662888685328,0.314823620890672
0.0221749012291899,0.0715131172404191,0.0179352197777678,0.722847200810518,0.530108945154884,0.111409970234286,0.664091654941617,1,0.0781571177768921,0.248032614076551,0.379240536889768,0.493542423065525,0.0149743480737601,0.0905651575416821,0.537131183638105,0.493146784607505
0.0196959461669125,0.306351802823261,0.0310054440069314,0.711909866278647,0.602867418905208,0.086125731596928,0.704840014656811,0.668382173330384,0.0598487209103161,0.36993214127181,0.162177360886259,0.401287703811633,0.0224433554484229,0.0825334195637335,0.59749921640375,0.781635060584263
0.0261004781755629,0.102342319318449,0.0395273104447944,0.705510245882883,0.137423901488351,0.135505849044665,0.52775513256736,0.656533674519375,0.0768960098046241,0.100465870368483,0.408383949872464,0.614324331355404,0.0305992739421382,0.0773040304850841,0.358735029505572,0.170524333294294
0.0229616147306605,0.383819204094923,0.0318137531710976,0.749000279955017,0.271702339443675,0.107749981517881,0.590385372708545,0.468876764707152,0.0667931075648598,0.178982557488892,0.40149822535868,0.427550601533984,0.0377746797956226,0.0346273065907922,0.425464359005127,0.250179155259981
0.0244043274545276,0.301270152265225,0.0338790681140782,0.632674769929559,0.372008298050293,0.0590374304204875,0.780989582134391,0.586689619048875,0.0447288161911897,0.224149959602267,0.411914561958515,0.400790686813619,0.0275513674951745,0.0761089509950521,0.358287050396367,0.436676443246455
0.0224805928112276,0.114438809996825,0.0348399910480868,0.738525719439586,0.312977033479357,0.101345328897527,0.673115856600172,0.587810129164173,0.0801680654146059,0.175737421777478,0.407272838573159,0.439014885534265,0.00842891776098122,1,0.552599166950227,0.964403478817005
0.0274275954477803,0.0643272892784663,0.0379045095805129,0.725165180345822,0.148078717334658,0.139720895236436,0.748615472111749,0.296161156077061,0.0130734835282419,0.139294709796364,0.506670911581431,0.412305765497215,0.0288170387930069,0.10816054536467,0.595535139268265,0.541147257773371
0.0231128000324506,0.0838648712410252,0.0179115469641456,0.702307828344761,0.20612787525629,0.0562852700697732,0.620100931957315,0.647685301980876,0.0930747079671239,0.0761524432066479,0.452500371664731,0.406460452816485,0.0360837607466352,0.0638516696105927,0.415912030701393,0.330538847741336
0.0226698051524011,0.0737764696699665,0.0213536239093677,0.728960334830917,0.194922867709674,0.0980073046874105,0.843207631921185,0.816745275974329,0.0630823043043429,0.223039318632177,0.161542316868505,0.43498764859566,0.0184378499110161,0.0857840413282442,0.597552499892273,0.668318553433634
0.0134658463496957,0.0418092071343835,0.0301730146745335,0.809143746158763,0.173463257778419,0.0287287184226085,0.669192271837225,0.495434783634702,0.0502026414925403,0.139615939978122,0.462031071668603,0.444018730334947,0.0480188629184619,0.0575564095701811,0.470868638705166,0.396252359747899
0.0307607828626418,0.26724330224489,0.0306658475336649,0.704091674184685,0.435194188802232,0.0372888408469774,0.778173715222182,0.720751590465515,0.24363872059343,0.293634065932633,0.166404927439918,0.337205035413746,0.00990667634815916,0.0341461820165546,0.651411900404902,0.512353985157758
0.0175907931975301,0.10053028629412,0.0305978756782256,0.799253446474253,0.357999619967683,0.0120852932752031,0.69358652530124,0.46937957507589,0.0580424196787827,0.484978790357313,0.275079304131237,0.449730233181556,0.0233254811847571,0.00577309736425818,0.639485086458796,0.462441031851386
0.0166009801948113,0.081193510806943,0.0386665340339717,0.749927928473445,0.209990235927706,0.0136063413718562,0.751184783216357,0.257497508233304,0.0764546916788075,0.0805634593087772,0.00469954503330531,0.418543734142178,0.0352135043016941,0.0224813001176666,0.326673402641563,0.396202268249152
