"B11.e","Ba138.e","Li7.e","Mg24.e","Mn55.e","Pb208.e","Sr88.e","Zn66.e"
0.11591688689878,0.124560418247269,0.49127153045766,0.529181501407663,0.0134573213523868,0.0407674979550804,0.337953481649765,0.267226507988269
0.0517823855954319,0.082122619684548,0.47999308212578,0.664220979069686,0.142033731078369,0.0221056132496576,0.289583000797674,0.267834703953895
0.0345427053938217,0.136090375721902,0.420772874624026,0.438065776821557,0.0284997258427022,0.0685448013604744,0.460662888685328,0.314823620890672
0.0781571177768921,0.248032614076551,0.379240536889768,0.493542423065525,0.0149743480737601,0.0905651575416821,0.537131183638105,0.493146784607505
0.0598487209103161,0.36993214127181,0.162177360886259,0.401287703811633,0.0224433554484229,0.0825334195637335,0.59749921640375,0.781635060584263
0.0768960098046241,0.100465870368483,0.408383949872464,0.614324331355404,0.0305992739421382,0.0773040304850841,0.358735029505572,0.170524333294294
0.0667931075648598,0.178982557488892,0.40149822535868,0.427550601533984,0.0377746797956226,0.0346273065907922,0.425464359005127,0.250179155259981
0.0447288161911897,0.224149959602267,0.411914561958515,0.400790686813619,0.0275513674951745,0.0761089509950521,0.358287050396367,0.436676443246455
0.0801680654146059,0.175737421777478,0.407272838573159,0.439014885534265,0.00842891776098122,1,0.552599166950227,0.964403478817005
0.0130734835282419,0.139294709796364,0.506670911581431,0.412305765497215,0.0288170387930069,0.10816054536467,0.595535139268265,0.541147257773371
0.0930747079671239,0.0761524432066479,0.452500371664731,0.406460452816485,0.0360837607466352,0.0638516696105927,0.415912030701393,0.330538847741336
0.0630823043043429,0.223039318632177,0.161542316868505,0.43498764859566,0.0184378499110161,0.0857840413282442,0.597552499892273,0.668318553433634
0.0502026414925403,0.139615939978122,0.462031071668603,0.444018730334947,0.0480188629184619,0.0575564095701811,0.470868638705166,0.396252359747899
0.24363872059343,0.293634065932633,0.166404927439918,0.337205035413746,0.00990667634815916,0.0341461820165546,0.651411900404902,0.512353985157758
0.0580424196787827,0.484978790357313,0.275079304131237,0.449730233181556,0.0233254811847571,0.00577309736425818,0.639485086458796,0.462441031851386
