Population	Site	Year	Ne1	Ne1_upper	Ne1_lower
Korea	YS Block	2016	1202.283906	1068.342801	1374.202603
Korea	Boryeong	2008	2614.591543	1993.186378	3807.317331
Korea	Jukbyeon	2008	1369.742148	1221.017819	1559.375225
Korea	Geoje '14	2014	1380.319799	1222.164793	1585.118425
Korea	Geoje '15	2015	1196.294152	1022.591272	1440.599669
Korea	Jin. Bay Dec.	2008	301.2719053	294.6449429	308.2811924
Korea	Jin. Bay Feb.	2008	834.4874939	794.2159533	879.0920484
Korea	Pohang	2015	2940.587116	2341.229345	3949.924463
North America	Salish Sea	2012	3646.103727	2584.515329	6180.916838
North America	Wash. Coast	2005	2964.291251	2400.999448	3871.675331
North America	Hecate Strait	2004	39188.28717	10006.7132	NA
North America	PWSound	2012	11021.14821	6732.738898	30268.65068
North America	Kodiak	2003	6790.087611	4637.599252	12644.75399
North America	Unimak Pass	2003	9451.067891	5666.052838	28377.41757
North America	Adak	2006	3609.145667	2680.096518	5513.122936
