sample prop_het
PO010715_02 0.00184979652238
PO010715_02_rep 0.00222016651249
PO010715_04 0.00296022201665
PO010715_06.1 0.00777058279371
PO010715_08.1 0.00555041628122
PO010715_10.1 0.0040703052729
PO010715_11.1 0.00721554116559
PO010715_12 0.0040703052729
PO010715_17.1 0.00777058279371
PO010715_19.1 0.00333024976873
PO010715_26 0.00203477617462
PO010715_27.1 0.0059204440333
PO010715_28.1 0.00166512488437
PO010715_29.1 0.00277520814061
PO020515_01 0.00518038852914
PO020515_03.1 0.0040703052729
PO020515_05.1 0.00851063829787
PO020515_06 0.00740055504163
PO020515_08.1 0.00536540240518
PO020515_09.1 0.0101757631822
PO020515_10.1 0.00462534690102
PO020515_14.1 0.00314523589269
PO020515_15.1 0.00203515263645
PO020515_16.1 0.0049953746531
PO020515_17.1 0.00573543015726
PO031715_03 0.00296022201665
PO031715_04 0.00296022201665
PO031715_13.1 0.00388529139685
PO031715_20.1 0.00721554116559
PO031715_23 0.00222016651249
PO031715_24 0.00462534690102
PO010715_26_2 0.00222016651249
PO010715_07 0.00332963374029
PO010715_07_rep 0.00314523589269
GE011215_01.1 0.00296022201665
GE011215_07.1 0.00906567992599
GE011215_08.1 0.0109158186864
GE011215_09.1 0.00333024976873
GE011215_10.1 0.00185013876041
GE011215_14.1 0.00240518038853
GE011215_15.1 0.0040703052729
GE011215_16.1 0.00610545790934
GE011215_18 0.00314523589269
GE011215_19 0.00388529139685
GE011215_20.1 0.00333024976873
GE011215_21.1 0.00481036077706
GE011215_22 0.00111008325624
GE011215_24.1 0.00351526364477
GE011215_28 0.00148011100833
GE011215_29.1 0.0157261794635
GE011215_30.1 0.00240518038853
GE012315_01.1 0.00666049953747
GE012315_03.1 0.00684551341351
GE012315_04.1 0.00703052728955
GE012315_05.1 0.0099907493062
GE012315_06.1 0.00832562442183
GE012315_08.1 0.00185013876041
GE012315_09.1 0.00111008325624
GE012315_10.1 0.00351526364477
GE012315_11.1 0.00111008325624
GE012315_17.1 0.00555041628122
GE012315_20.1 0.00314523589269
GE012315_22.1 0.00832562442183
GEO012315_02 0.00777058279371
GEO012315_12 0.00370027752081
GEO012315_18 0.00777058279371
GEO012315_21 0.00647548566142
GE012315_11_2 0.000740055504163
GE012315_09_2 0.000740055504163
GE011215_11 0.00443951165372
GE011215_11_rep 0.00462534690102
NA021015_02.1 0.00610545790934
NA021015_03.1 0.00777058279371
NA021015_06.1 0.0049953746531
NA021015_08.1 0.0118408880666
NA021015_09.1 0.00277520814061
NA021015_10.1 0.00629047178538
NA021015_13.1 0.00462534690102
NA021015_14.1 0.00296022201665
NA021015_16.1 0.00296022201665
NA021015_17.1 0.00333024976873
NA021015_21.1 0.00203515263645
NA021015_22.1 0.00481036077706
NA021015_23 0.00370027752081
NA021015_25 0.00259019426457
NA021015_26 0.00148011100833
NA021015_30 0.00222016651249
NA021015_06_2 0.00370027752081
NA021015_09_2 0.00166512488437
NA021015_10_2 0.0059204440333
YS_121316_01 0.00351526364477
YS_121316_03 0.00758556891767
YS_121316_05 0.0253469010176
YS_121316_13 0.0040703052729
YS_121316_17 0.00203515263645
YS_121316_18 0.0405180388529
YS_121316_20.1 0.00518038852914
YS_121316_21 0.00166481687014
YS_121316_22 0.00444033302498
YS_121316_23 0.00703052728955
YS_121316_24 0.00296022201665
YS_121316_25 0.00943570767808
YS_121316_26 0.00444033302498
YS_121316_27 0.0647548566142
YS_121316_28 0.0760407030527
YS_121316_29 0.0991674375578
YS121315_08.1 0.00795559666975
YS121315_10.1 0.0288621646623
YS121315_12 0.00906400295967
YS121315_12_300 0.0216466234968
YS121315_14.1 0.00573543015726
YS121315_15 0.00610545790934
YS121315_16 0.00296022201665
YS121316_30 0.00721554116559
YS_121316_04 0.0301572617946
YS_121316_19 0.0695652173913
YS_121316_21_2 0.00129509713228
YS_121316_20_2 0.00518038852914
YS121315_14_2 0.00444033302498
YS_121316_07 0.00444033302498
