sample	prop_het	read_depth	p_missing_genos
JUK07_16_rep.1	0.201543094	5945979	0.016836263
JUK07_17	0.140724074	2540837	0.09546716
JUK07_18	0.161578845	3931160	0.048473636
JUK07_19	0.177407269	4498926	0.01239593
JUK07_20	0.151484951	3519086	0.071785384
JUK07_22	0.137917169	2968381	0.079740981
JUK07_25	0.119017894	2183098	0.110823312
JUK07_26	0.158319265	4618372	0.013691027
JUK07_27	0.172980034	5317563	0.008510638
JUK07_28	0.128959276	2441945	0.100462535
JUK07_29.1	0.203903346	9984096	0.004625347
JUK07_30	0.208023774	9952413	0.003885291
JUK07_32	0.202785515	10988844	0.003700278
JUK07_36.1	0.190242984	4837063	0.017761332
JUK07_37.1	0.186427898	5751544	0.018501388
JUK07_10	0.149619263	3866920	0.101017576
JUK07_13	0.178537869	2331019	0.015541166
JUK07_21	0.163450624	1992512	0.022016651
JUK07_23	0.187559085	6616902	0.02146161
JUK07_34	0.168078299	3598520	0.017021277
JUK07_04	0.165629127	2122471	0.019241443
JUK07_12	0.143621399	3372904	0.100832562
JUK07_31	0.179962894	5458205	0.002775208
JUK07_11	0.178712965	2625620	0.019611471
JUK07_06_2	0.194501977	10884840	0.017391304
JUK07_08	0.18812616	6164980	0.002775208
JUK07_33	0.180886736	4761034	0.006845513
JB121807_01	0.174453096	2672936	0.002035153
JB121807_03.1	0.1879881	2695033	0.004995375
JB121807_04.1	0.147045855	626185	0.160777058
JB121807_05	0.103220115	1990280	0.161302257
JB121807_06.1	0.186374606	2942523	0.00333025
JB121807_08	0.160512154	2592970	0.003144654
JB121807_08_rep	0.158246657	2268661	0.003885291
JB121807_11.1	0.182070754	4079581	0.001110083
JB121807_12.1	0.160628981	1220369	0.070490287
JB121807_14.1	0.186825456	3532063	0.00573543
JB121807_16.1	0.142634277	1814325	0.169842738
JB121807_19.1	0.169758813	2325569	0.002775208
JB121807_20.1	0.170981561	1789463	0.0066605
JB121807_21.1	0.170208799	3461393	0.007585569
JB121807_24.1	0.168098618	2080584	0.009435708
JB121807_25	0.162558685	1119322	0.054209066
JB121807_27	0.103586545	1521654	0.169626341
JB121807_28.1	0.163925234	1348383	0.010175763
JB121807_30	0.119361105	1799365	0.142989271
JB121807_31.1	0.207466568	4858641	0.003885291
JB121807_32.1	0.178352241	3692041	0.005180389
JB121807_33.1	0.161915409	4011732	0.007030527
JB121807_34.1	0.175487465	3964034	0.003700278
JB121807_37	0.169262143	3947023	0.002035153
JB121807_38.1	0.177226985	3410899	0.007215541
JB121807_41.1	0.166953159	2021500	0.138945421
JB121807_42	0.13018944	2624412	0.081961147
JB121807_44	0.17267658	5447707	0.004625347
JB121807_46	0.148824083	3609690	0.016651249
JB121807_48.1	0.161080855	1626523	0.116743756
JB121807_22_c	0.141858553	3313335	0.100092507
JB121807_26_c	0.157547536	3862006	0.046438483
JB121807_39	0.186163288	8133702	0.005180389
JB121807_03_rep	0.17778606	7297187	0.007215541
JB121807_05_2	0.187000929	2716081	0.003700278
JB121807_35_2	0.151561602	1045274	0.034412581
JB121807_47_2	0.121126761	2405260	0.146160962
JB121807_23_2	0.163874446	1844035	0.039222942
JB121807_27_2	0.17467167	2720735	0.013876041
JB121807_30_2	0.185046729	3019204	0.010175763
JB121807_16_2	0.163636364	5692288	0.002775208
JB121807_18	0.16362621	2622235	0.006105458
JB121807_43	0.190228497	3599829	0.004070305
JB121807_29	0.184747986	1504511	0.012580944
JB021108_02.1	0.184254606	4311669	0.005920444
JB021108_04.1	0.170769231	1816458	0.037927845
JB021108_05	0.182897422	10651977	0.002774695
JB021108_05_rep	0.185528757	12697218	0.002775208
JB021108_06	0.172458651	2104987	0.004440333
JB021108_07.1	0.180666791	2503842	0.0066605
JB021108_08.1	0.152708413	1721654	0.036817761
JB021108_09.1	0.183339531	4329770	0.004995375
JB021108_12.1	0.172292285	4944510	0.00240518
JB021108_13.1	0.167101828	2579086	0.007955597
JB021108_16	0.251390434	3108991	0.002035153
JB021108_17.1	0.213994061	2425901	0.003145236
JB021108_19.1	0.192607727	6267465	0.003885291
JB021108_20	0.152289065	1053046	0.022016651
JB021108_22.1	0.17015556	3244823	0.036632747
JB021108_25.1	0.143958333	1081054	0.111933395
JB021108_26.1	0.183563176	2900671	0.007215541
JB021108_29	0.163653484	1814690	0.017576318
JB021108_30	0.178935657	5002275	0.002220167
JB021108_32	0.185123354	7666082	0.002590194
JB021108_34	0.172213912	2553725	0.010545791
JB021108_35	0.161033042	910556	0.025897151
JB021108_35_rep	0.162530782	986962	0.023311748
JB021108_36.1	0.186163288	3564362	0.005180389
JB021108_36_rep.1	0.181953488	3473439	0.005550416
JB021108_37.1	0.180687094	3874496	0.003700278
JB021108_37_rep.1	0.179468105	3852296	0.005180389
JB021108_38.1	0.175417421	1459670	0.080296022
JB021108_39	0.140810974	2476612	0.082886216
JB021108_41.1	0.162649459	2899441	0.025161887
JB021108_44.1	0.167470326	3562001	0.00240518
JB021108_45	0.183537264	7512937	0.002035153
JB021108_46.1	0.18067149	5675208	0.002590194
JB021108_46_rep.1	0.168862498	3527876	0.002960222
JB021108_47.1	0.177790137	3923619	0.002035153
JB021108_48.1	0.179591837	7101400	0.002775208
JB021108_24_c	0.145744267	2981537	0.047918594
JB021108_33_rep	0.169709389	7652833	0.006845513
JB021108_11_2	0.174822563	1922970	0.009435708
JB021108_28_2	0.142537161	2985472	0.091396855
JB021108_40_2	0.144406393	1167827	0.027567068
JB021108_14_2	0.15702322	2035030	0.027937095
JB021108_25_2	0.135443287	1555987	0.058834413
JB021108_31_2	0.155932203	2674493	0.017576318
JB021108_23	0.162233541	1216964	0.019241443
JB021108_11_rep	0.151570048	2569400	0.080851064
BOR07_01	0.107695759	6871924	0.17554569
BOR07_02.1	0.187105165	4096017	0.004255319
BOR07_03	0.156506784	2968140	0.031822387
BOR07_04	0.19070632	5993580	0.004625347
BOR07_05.1	0.199403096	8659570	0.008140611
BOR07_06.1	0.187476705	4078253	0.007215541
BOR07_07.1	0.192029657	6259115	0.001850139
BOR07_08.1	0.200853116	9296113	0.00240518
BOR07_09	0.167659099	5769259	0.00573543
BOR07_10.1	0.335873606	4774298	0.004625347
BOR07_11.1	0.220697329	6057266	0.00240518
BOR07_12.1	0.222922849	3962949	0.00240518
BOR07_13.1	0.198584203	4475682	0.006845513
BOR07_14	0.197253665	10735145	0.002960222
BOR07_15	0.230869484	7761056	0.006290472
BOR07_16	0.201379825	3692985	0.007770583
BOR07_17.1	0.192493497	3287279	0.004255319
BOR07_18	0.178927564	7110518	0.016651249
BOR07_19.1	0.184161375	5149426	0.009435708
BOR07_20.1	0.197353709	7747504	0.007215541
BOR07_21.1	0.178549414	3280358	0.099537465
BOR07_22	0.185315985	6685657	0.004625347
BOR07_01_2	0.175405859	3986942	0.008510638
BOR07_21_2	0.189735906	4331290	0.012210916
GEO020414_10	0.127701375	1962002	0.152608213
GEO020414_11	0.209168523	5803141	0.003329634
GEO020414_11_300	0.19309961	4659273	0.002590194
GEO020414_13_300	0.171412619	3172787	0.005920444
GEO020414_14	0.181084631	4039842	0.014243433
GEO020414_14_300	0.17267697	3494966	0.030342276
GEO020414_15	0.199088748	2336383	0.066222716
GEO020414_15_300	0.181649101	2039080	0.104717854
GEO020414_16	0.182605422	4033436	0.017388087
GEO020414_16_300	0.17936803	3618428	0.004625347
GEO020414_17	0.22115746	3864586	0.015538291
GEO020414_17_300	0.203838772	3057343	0.036077706
GEO020414_2	0.166954851	4056569	0.03718091
GEO020414_23	0.223129757	7069859	0.003514613
GEO020414_23_300	0.206531824	6158191	0.002960222
GEO020414_24	0.229608939	4525205	0.006659267
GEO020414_24_300	0.206800446	3842521	0.004255319
GEO020414_25	0.171157495	3666663	0.025157233
GEO020414_25_300	0.154938025	2587646	0.074560592
GEO020414_26	0.148140862	3752341	0.059574468
GEO020414_27	0.153727605	4659426	0.039592969
GEO020414_29	0.137317609	3083761	0.074375578
GEO020414_3	0.166013803	4784237	0.008324084
GEO020414_30	0.114404817	6343392	0.201257862
GEO020414_4	0.177236377	5641450	0.005180389
GEO020414_5	0.163591402	4831675	0.027382054
GEO020414_6	0.148466497	3555024	0.052913969
GEO020414_7	0.192364715	4631204	0.001665125
GEO020414_8	0.167657993	5825946	0.004809471
GEO020414_8_300	0.164226135	5328677	0.001850139
GEO020414_9	0.175865295	3815390	0.011283759
GEO020414_9_300	0.170613463	3311770	0.007770583
GEO020414_10_2	0.177019213	2970744	0.008140611
GEO020414_30_2	0.167805619	1798634	0.025346901
GEO020414_13_2	0.176273708	2092010	0.004995375
