Missing data from input file batch_8_filtbatch_8_verif_byreg_Ne_LD.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PO010715_02]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           27             0000            25
       2            6             0000            28
       3           88             0000           100
       4          285             0000            54
       5          202             0000            43
       6            6             0000            57
       7          115             0000            42
       8           91             0000            76
       9            3             0000            47
      10           27             0000            66
      11         3662             0000            38
      12            6             0000            51
      13           16             0000            47
      14           82             0000            47
      15           18             0000            92
      16          154             0000            51
      17           45             0000            65
      18           88             0000           123
      19            6             0000            72
      20            6             0000            34
      21          543             0000            21
      22          231             0000            43
      23          243             0000            50
      24           91             0000            45
      25          154             0000            32
      26            6             0000            37
      27           56             0000           104
      28            6             0000            29
      29            6             0000            49
      30          154             0000            35
      31            6             0000            29
      32          336             0000            36
      33           88             0000            89
      34           86             0000           170
      35            6             0000            45
      36          175             0000            40
      37            6             0000            35
      38           82             0000            38
      39           88             0000            75
      40          273             0000            25
      41            6             0000            39
      42          815             0000            22
      43           88             0000            47
      44           18             0000            25
      45           18             0000            45
      46          520             0000            23
      47          108             0000           190
      48            6             0000            97
      49            6             0000           107
      50            6             0000            72
      51           27             0000            33
      52          633             0000            49
      53          285             0000            40
      54            3             0000           100
      55           52             0000            75
      56          203             0000            36
      57           18             0000            82
      58           91             0000            67
      59          336             0000            29
      60           88             0000            73
      61            6             0000           168
      62           81             0000            34
      63          139             0000            32
      64           86             0000            33
      65          236             0000            31
      66            6             0000            49
      67          122             0000            45
      68          311             0000            22
      69           86             0000            19
      70          220             0000            19
      71            6             0000            38
      72            6             0000            62
      73          175             0000            47
      74          348             0000            35
      75          566             0000            22
      76            1             0000          1189
      77           17             0000           198
      78          270             0000            40
      79            6             0000            97
      80            1             0000           295
      81            6             0000           111
      82            1             0000          1001
      83           45             0000           234
      84           17             0000           102
      85           27             0000           178
      86           10             0000           215
      87            6             0000            42
      88          115             0000            45
      89            3             0000           212
      90            3             0000           704
      91           27             0000            54
      92           27             0000           221
      93            3             0000           929
      94            1             0000           494
      95           27             0000            46
      96          481             0000            51
      97            6             0000           715
      98            5             0000           407
      99           48             0000           148
     100            2             0000           119
     101          323             0000            33
     102          139             0000            56
     103           91             0000            41
     104           53             0000           194
     105           64             0000           128
     106            1             0000           716
     107          322             0000            20
     108           91             0000            51
     109           86             0000            84
     110            3             0000           613
     111            6             0000           115
     112           88             0000            28
     113           18             0000            93
     114          214             0000            28
     115          154             0000            46
     116          311             0000            54
     117            1             0000           607
     118            1             0000           556
     119           10             0000           157
     120            3             0000           472
     121          139             0000            25
     122            6             0000            18
     123           12             0000           311
     124            6             0000           563
     125           86             0000            47
     126           82             0000            38
     127            1             0000          1083
     128            5             0000           641
     129            3             0000           522
     130            6             0000            29
     131         1015             0000            22
     132           27             0000            18
     133          188             0000            18
     134            1             0000            68
     135            3             0000           524
     136           82             0000            70
     137           73             0000           112
     138            5             0000          1468
     139           21             0000           483
     140            8             0000           334
     141            2             0000           685
     142            1             0000           234
     143           76             0000           324
     144          203             0000            28
     145          171             0000            84
     146           16             0000           217
     147            8             0000           806
     148           18             0000            50
     149           22             0000           281
     150           74             0000           281
     151            6             0000            26
     152          167             0000            55
     153            9             0000           549
     154            3             0000           416
     155           18             0000           250
     156           13             0000           522
     157           28             0000            84
     158           73             0000            56
     159           18             0000           194
     160            6             0000           387
     161           18             0000            33
     162           27             0000            22
     163           91             0000            84
     164            6             0000            75
     165           23             0000           226
-----------------------------------------------------------
Total missing data for population    1:        28394

Population 2 [YS_121316_01]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           91             0000            25
       2          191             0000            81
       3           41             0000           184
       4          525             0000            36
       5           98             0000            31
       6           88             0000           298
       7          169             0000            22
       8           91             0000            35
       9           84             0000            57
      10           92             0000            24
      11            6             0000            64
      12           45             0000            47
      13           38             0000           521
      14           26             0000           612
      15           10             0000           822
      16            6             0000            95
      17            9             0000           456
      18           62             0000           180
      19           96             0000            62
      20           52             0000            34
      21           69             0000            66
      22           18             0000           600
      23            2             0000          1193
      24          563             0000            40
      25           18             0000            54
      26           51             0000            40
      27            9             0000           274
      28         1169             0000            32
      29           27             0000            58
      30          178             0000            62
      31          104             0000            25
      32          220             0000            21
      33            6             0000            50
      34          154             0000            33
      35           98             0000            33
      36           40             0000            46
      37          812             0000            30
      38           52             0000            42
      39           78             0000            67
